[251/300] Average loss: 0.0107, time cost: 702.13s.
[252/300] Average loss: 0.0108, time cost: 704.71s.
[253/300] Average loss: 0.0108, time cost: 694.49s.
[254/300] Average loss: 0.0106, time cost: 710.08s.
[255/300] Average loss: 0.0109, time cost: 694.29s.
[256/300] Average loss: 0.0105, time cost: 704.35s.
[257/300] Average loss: 0.0107, time cost: 707.99s.
[258/300] Average loss: 0.0107, time cost: 701.48s.
[259/300] Average loss: 0.0112, time cost: 699.07s.
[260/300] Average loss: 0.0105, time cost: 699.00s.
[261/300] Average loss: 0.0109, time cost: 692.96s.
[262/300] Average loss: 0.0107, time cost: 700.96s.
[263/300] Average loss: 0.0111, time cost: 703.48s.
[264/300] Average loss: 0.0116, time cost: 703.99s.
[265/300] Average loss: 0.0112, time cost: 702.20s.
[266/300] Average loss: 0.0109, time cost: 702.87s.
[267/300] Average loss: 0.0105, time cost: 705.51s.
[268/300] Average loss: 0.0109, time cost: 700.70s.
[269/300] Average loss: 0.0107, time cost: 696.90s.
[270/300] Average loss: 0.0111, time cost: 699.29s.
[271/300] Average loss: 0.0108, time cost: 704.53s.
[272/300] Average loss: 0.0108, time cost: 708.49s.
[273/300] Average loss: 0.0108, time cost: 703.57s.
[274/300] Average loss: 0.0106, time cost: 704.28s.
[275/300] Average loss: 0.0108, time cost: 709.33s.
[276/300] Average loss: 0.0115, time cost: 696.62s.
[277/300] Average loss: 0.0107, time cost: 708.60s.
[278/300] Average loss: 0.0105, time cost: 700.80s.
[279/300] Average loss: 0.0104, time cost: 712.46s.
[280/300] Average loss: 0.0105, time cost: 696.84s.
[281/300] Average loss: 0.0110, time cost: 707.93s.
[282/300] Average loss: 0.0111, time cost: 697.27s.
[283/300] Average loss: 0.0107, time cost: 706.90s.
[284/300] Average loss: 0.0107, time cost: 702.45s.
[285/300] Average loss: 0.0108, time cost: 702.65s.
[286/300] Average loss: 0.0106, time cost: 699.53s.
[287/300] Average loss: 0.0106, time cost: 703.80s.
[288/300] Average loss: 0.0112, time cost: 708.56s.
[289/300] Average loss: 0.0108, time cost: 712.93s.
[290/300] Average loss: 0.0113, time cost: 707.12s.
[291/300] Average loss: 0.0110, time cost: 704.10s.
[292/300] Average loss: 0.0110, time cost: 699.83s.
[293/300] Average loss: 0.0105, time cost: 698.85s.
[294/300] Average loss: 0.0105, time cost: 698.88s.
[295/300] Average loss: 0.0108, time cost: 710.25s.
[296/300] Average loss: 0.0112, time cost: 694.22s.
[297/300] Average loss: 0.0111, time cost: 702.97s.
[298/300] Average loss: 0.0106, time cost: 707.45s.
[299/300] Average loss: 0.0105, time cost: 707.95s.
[300/300] Average loss: 0.0111, time cost: 706.54s.
